gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;operator;department;monthly_cost_mad;total_cost_mad;plan;roaming_flag;data_usage_gb;quota_gb;over_quota_flag;anomaly_flag;risk_proba;risk_score_100;risk_level;future_cost_mad;future_cost_pred_mad;alert_flag;recommendation
Female;0;Yes;Yes;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);23.75;1679.25;0;Orange Maroc;Finance;237.5;16792.5;M;0;12.27;12;1;0;0.0;0.0;Faible;271.22;286.26;1;Proposer forfait supérieur
Female;1;Yes;No;33;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);80.6;2656.5;1;Orange Maroc;Commercial;806.0;26565.0;XL;1;38.67;50;0;0;0.4025;40.2;Moyen;889.29;881.67;0;RAS
Female;0;No;No;12;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);43.8;540.95;0;Orange Maroc;Support;438.0;5409.5;L;0;21.88;25;0;0;0.065;6.5;Faible;439.32;438.31;0;RAS
Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19.75;19.75;0;Maroc Telecom;RH;197.5;197.5;M;1;17.17;12;1;1;0.1425;14.2;Faible;330.7;324.77;1;Vérifier roaming + limiter options
Male;0;No;Yes;27;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.15;537.35;0;Maroc Telecom;Commercial;191.5;5373.5;M;0;10.52;12;0;0;0.0225;2.2;Faible;179.55;191.51;0;RAS
Male;0;Yes;Yes;34;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19.6;678.8;0;inwi;Finance;196.0;6788.0;M;0;4.07;12;0;0;0.0025;0.2;Faible;216.58;194.72;0;RAS
Female;0;Yes;No;56;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Two year;No;Bank transfer (automatic);80.3;4513.65;0;inwi;IT;803.0;45136.5;XL;1;38.97;50;0;0;0.0075;0.8;Faible;869.2;878.26;0;RAS
Female;0;No;No;58;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);24.35;1423.85;0;Orange Maroc;Support;243.5;14238.5;M;0;12.22;12;1;0;0.01;1.0;Faible;312.93;292.5;1;Proposer forfait supérieur
Female;0;Yes;Yes;22;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25.25;555.4;0;Maroc Telecom;IT;252.5;5554.0;M;1;12.2;12;1;1;0.0;0.0;Faible;400.2;378.02;1;Vérifier roaming + limiter options
Female;0;Yes;Yes;10;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);26.1;225.55;0;Orange Maroc;Finance;261.0;2255.5;M;0;12.84;12;1;0;0.0275;2.8;Faible;305.57;310.99;1;Proposer forfait supérieur
Male;0;No;No;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20.0;268.45;0;Maroc Telecom;Support;200.0;2684.5;M;0;10.86;12;0;0;0.0075;0.8;Faible;183.78;200.29;0;RAS
Female;0;No;No;35;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic);85.3;2917.5;1;Maroc Telecom;RH;853.0;29175.0;XL;0;44.18;50;0;0;0.66;66.0;Élevé;860.94;853.34;1;Surveiller la ligne + analyser causes
Female;0;No;No;34;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);70.0;2416.1;1;inwi;Direction;700.0;24161.0;XL;0;35.78;50;0;0;0.745;74.5;Élevé;701.56;700.21;1;Surveiller la ligne + analyser causes
Female;1;No;No;4;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94.3;424.45;1;Maroc Telecom;Direction;943.0;4244.5;XL;1;50.0;50;0;0;0.9225;92.2;Critique;1037.41;1020.08;1;Surveiller la ligne + analyser causes
Male;0;Yes;No;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.7;1492.1;0;inwi;Finance;207.0;14921.0;M;0;5.86;12;0;0;0.0;0.0;Faible;215.68;205.13;0;RAS
Male;0;No;No;2;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;No;Electronic check;70.3;132.4;0;Maroc Telecom;IT;703.0;1324.0;XL;0;34.39;50;0;0;0.1175;11.8;Faible;710.77;703.63;0;RAS
Female;0;No;No;7;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;95.35;660.9;1;Maroc Telecom;Support;953.5;6609.0;XL;0;48.98;50;0;0;0.925;92.5;Critique;957.94;954.43;1;Surveiller la ligne + analyser causes
Male;1;Yes;No;27;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;75.5;1893.95;1;Orange Maroc;Commercial;755.0;18939.5;XL;1;38.52;50;0;0;0.56;56.0;Élevé;810.89;831.2;1;Surveiller la ligne + analyser causes
Male;0;Yes;Yes;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;69.55;284.9;0;inwi;IT;695.5;2849.0;XL;0;32.82;50;0;0;0.17;17.0;Faible;715.74;695.88;0;RAS
Female;0;No;No;37;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.85;784.25;0;Orange Maroc;Support;198.5;7842.5;M;0;8.33;12;0;0;0.0;0.0;Faible;186.75;197.86;0;RAS
Male;0;No;No;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.0;417.7;0;inwi;IT;200.0;4177.0;M;0;7.47;12;0;0;0.015;1.5;Faible;196.02;199.55;0;RAS
Female;1;Yes;No;53;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);95.85;5016.25;0;Orange Maroc;Support;958.5;50162.5;XL;0;50.85;50;1;0;0.105;10.5;Faible;1006.19;1008.52;1;Proposer forfait supérieur
Female;0;No;No;18;Yes;Yes;Fiber optic;No;No;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;90.1;1612.75;1;Orange Maroc;IT;901.0;16127.5;XL;0;39.49;50;0;0;0.7475;74.8;Élevé;899.91;900.51;1;Surveiller la ligne + analyser causes
Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;68.95;119.75;1;inwi;IT;689.5;1197.5;XL;0;30.63;50;0;0;0.8525;85.2;Critique;670.54;689.6;1;Surveiller la ligne + analyser causes
Male;0;Yes;Yes;32;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99.55;3204.65;1;Maroc Telecom;IT;995.5;32046.5;XL;0;51.03;50;1;0;0.755;75.5;Élevé;1040.54;1045.69;1;Proposer upgrade forfait + vérifier usage
Male;1;Yes;No;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;20.75;485.2;0;Orange Maroc;Direction;207.5;4852.0;M;0;12.0;12;0;0;0.0075;0.8;Faible;200.13;207.71;0;RAS
Male;0;No;No;3;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;50.15;160.85;0;Maroc Telecom;Commercial;501.5;1608.5;XL;0;20.32;50;0;0;0.1375;13.8;Faible;533.31;501.39;0;RAS
Female;0;Yes;Yes;71;No;No phone service;DSL;Yes;Yes;No;Yes;Yes;Yes;Two year;No;Mailed check;58.65;4145.25;0;inwi;Support;586.5;41452.5;XL;0;31.2;50;0;0;0.0025;0.2;Faible;601.4;586.08;0;RAS
Male;0;No;No;9;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);95.9;827.45;0;inwi;RH;959.0;8274.5;XL;0;48.49;50;0;0;0.2475;24.8;Moyen;976.39;959.75;0;RAS
Female;0;No;No;1;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;49.5;49.5;0;Maroc Telecom;RH;495.0;495.0;L;1;26.3;25;1;1;0.1625;16.2;Faible;671.38;621.45;1;Vérifier roaming + limiter options
Male;0;Yes;Yes;18;Yes;No;DSL;No;No;Yes;No;No;Yes;Month-to-month;No;Electronic check;57.45;990.85;1;Orange Maroc;Finance;574.5;9908.5;XL;0;28.94;50;0;0;0.26;26.0;Moyen;579.16;574.93;0;RAS
Male;0;Yes;Yes;12;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Credit card (automatic);53.65;696.35;1;inwi;Commercial;536.5;6963.5;XL;1;28.1;50;0;0;0.69;69.0;Élevé;636.24;613.06;1;Surveiller la ligne + analyser causes
Male;0;Yes;No;71;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Mailed check;80.1;5585.4;0;Maroc Telecom;Commercial;801.0;55854.0;XL;1;41.43;50;0;0;0.0125;1.2;Faible;822.33;876.37;0;RAS
Female;0;No;No;64;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);24.4;1601.2;0;Orange Maroc;Commercial;244.0;16012.0;M;0;13.62;12;1;0;0.01;1.0;Faible;297.65;293.11;1;Proposer forfait supérieur
Male;0;No;No;4;No;No phone service;DSL;No;No;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;40.05;162.45;0;inwi;Finance;400.5;1624.5;L;0;20.76;25;0;0;0.2025;20.2;Moyen;432.55;401.1;0;RAS
Female;0;No;No;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19.5;470.2;0;Maroc Telecom;Direction;195.0;4702.0;M;0;9.49;12;0;0;0.015;1.5;Faible;200.95;194.89;0;RAS
Female;0;Yes;Yes;39;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Credit card (automatic);51.05;2066.0;0;Orange Maroc;IT;510.5;20660.0;XL;1;25.29;50;0;0;0.0225;2.2;Faible;558.12;586.22;0;RAS
Male;0;Yes;No;28;Yes;No;DSL;Yes;No;No;Yes;No;No;One year;No;Mailed check;54.35;1426.45;0;Maroc Telecom;Direction;543.5;14264.5;XL;0;27.87;50;0;0;0.0025;0.2;Faible;557.92;543.79;0;RAS
Female;1;No;No;5;Yes;No;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;84.7;392.5;0;inwi;IT;847.0;3925.0;XL;0;44.83;50;0;0;0.2525;25.2;Moyen;886.35;848.15;0;RAS
Female;1;Yes;No;45;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;86.1;3861.45;0;inwi;Commercial;861.0;38614.5;XL;1;48.94;50;0;0;0.505;50.5;Élevé;914.47;937.7;1;Surveiller la ligne + analyser causes
Male;0;No;No;37;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70.35;2552.9;0;inwi;RH;703.5;25529.0;XL;0;36.76;50;0;0;0.125;12.5;Faible;712.5;703.78;0;RAS
Female;1;Yes;No;60;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110.0;6668.35;0;Orange Maroc;RH;1100.0;66683.5;XL;0;56.13;50;1;0;0.05;5.0;Faible;1152.05;1149.59;1;Proposer forfait supérieur
Male;1;No;No;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100.6;819.4;1;inwi;Commercial;1006.0;8194.0;XL;0;53.95;50;1;0;0.975;97.5;Critique;1047.87;1057.11;1;Proposer upgrade forfait + vérifier usage
Female;0;No;No;47;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;No;One year;No;Credit card (automatic);94.9;4615.25;0;inwi;RH;949.0;46152.5;XL;1;48.64;50;0;0;0.035;3.5;Faible;990.48;1024.88;0;RAS
Male;0;Yes;Yes;26;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;83.75;2070.6;1;Maroc Telecom;RH;837.5;20706.0;XL;0;38.69;50;0;0;0.79;79.0;Élevé;838.68;837.23;1;Surveiller la ligne + analyser causes
Female;1;Yes;Yes;3;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;88.3;273.75;1;inwi;Support;883.0;2737.5;XL;0;41.95;50;0;0;0.8725;87.2;Critique;889.66;883.4;1;Surveiller la ligne + analyser causes
Female;0;Yes;Yes;50;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);69.75;3557.7;0;Maroc Telecom;Commercial;697.5;35577.0;XL;0;40.36;50;0;0;0.12;12.0;Faible;676.73;698.16;0;RAS
Male;0;Yes;Yes;27;Yes;Yes;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;No;Bank transfer (automatic);71.6;1957.1;0;Orange Maroc;Support;716.0;19571.0;XL;0;33.66;50;0;0;0.045;4.5;Faible;722.66;715.86;0;RAS
Female;1;No;No;8;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;92.1;729.95;1;Maroc Telecom;Finance;921.0;7299.5;XL;1;47.76;50;0;0;0.89;89.0;Critique;1008.82;997.8;1;Surveiller la ligne + analyser causes
Female;0;Yes;No;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);23.65;1416.75;0;Maroc Telecom;Commercial;236.5;14167.5;M;0;8.86;12;0;0;0.0;0.0;Faible;262.35;235.1;0;RAS
Female;0;Yes;No;71;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);81.85;5924.4;0;Maroc Telecom;Commercial;818.5;59244.0;XL;0;44.78;50;0;0;0.0;0.0;Faible;797.14;818.46;0;RAS
Male;0;No;No;66;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;25.1;1697.7;0;Orange Maroc;RH;251.0;16977.0;M;1;11.17;12;0;0;0.0025;0.2;Faible;296.48;325.62;0;RAS
Male;0;Yes;Yes;68;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);114.7;7849.85;0;Maroc Telecom;Commercial;1147.0;78498.5;XL;0;57.6;50;1;0;0.0625;6.2;Faible;1203.09;1196.28;1;Proposer forfait supérieur
Female;0;No;No;13;No;No phone service;DSL;No;No;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;49.15;649.4;0;Orange Maroc;Finance;491.5;6494.0;L;0;23.89;25;0;0;0.5375;53.8;Élevé;510.9;491.68;1;Surveiller la ligne + analyser causes
Male;0;Yes;No;56;Yes;No;Fiber optic;No;No;No;No;No;Yes;One year;Yes;Electronic check;80.9;4557.5;0;Maroc Telecom;IT;809.0;45575.0;XL;0;41.96;50;0;0;0.08;8.0;Faible;828.75;808.88;0;RAS
Male;0;Yes;No;38;Yes;No;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;79.45;3013.05;1;Maroc Telecom;Finance;794.5;30130.5;XL;0;40.24;50;0;0;0.775;77.5;Élevé;790.73;794.6;1;Surveiller la ligne + analyser causes
Male;1;No;No;14;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Credit card (automatic);90.45;1266.1;1;Orange Maroc;IT;904.5;12661.0;XL;0;47.95;50;0;0;0.5525;55.2;Élevé;903.83;905.51;1;Surveiller la ligne + analyser causes
Female;0;No;Yes;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);19.3;360.35;0;inwi;Commercial;193.0;3603.5;M;0;11.62;12;0;0;0.025;2.5;Faible;206.63;193.42;0;RAS
Female;0;Yes;Yes;14;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;70.2;1046.5;0;Maroc Telecom;Commercial;702.0;10465.0;XL;0;35.95;50;0;0;0.18;18.0;Faible;709.83;702.65;0;RAS
Male;0;Yes;Yes;32;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);69.75;2347.9;1;Orange Maroc;Direction;697.5;23479.0;XL;0;36.83;50;0;0;0.7725;77.2;Élevé;695.74;697.95;1;Surveiller la ligne + analyser causes
Female;0;No;No;8;Yes;No;DSL;Yes;No;No;Yes;No;No;One year;No;Bank transfer (automatic);54.25;447.75;0;inwi;Support;542.5;4477.5;XL;0;29.23;50;0;0;0.075;7.5;Faible;530.0;543.45;0;RAS
Female;0;Yes;Yes;43;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);99.3;4209.95;0;Orange Maroc;IT;993.0;42099.5;XL;0;48.46;50;0;0;0.41;41.0;Moyen;998.48;992.74;0;RAS
Female;0;No;No;52;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;No;One year;No;Credit card (automatic);74.0;3877.65;0;Maroc Telecom;Support;740.0;38776.5;XL;0;35.58;50;0;0;0.0225;2.2;Faible;723.33;739.46;0;RAS
Male;0;No;No;3;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;50.25;152.3;0;Maroc Telecom;Support;502.5;1523.0;XL;1;29.78;50;0;0;0.105;10.5;Faible;603.3;579.82;0;RAS
Male;0;No;No;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;19.8;572.2;0;inwi;RH;198.0;5722.0;M;0;12.02;12;1;0;0.0025;0.2;Faible;285.11;247.97;1;Proposer forfait supérieur
Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.65;19.65;1;Maroc Telecom;Commercial;196.5;196.5;M;1;11.04;12;0;0;0.6975;69.8;Élevé;234.12;272.94;1;Surveiller la ligne + analyser causes
Male;1;No;No;12;No;No phone service;DSL;No;No;Yes;Yes;No;Yes;Month-to-month;Yes;Electronic check;43.65;526.95;1;inwi;Direction;436.5;5269.5;L;1;19.42;25;0;0;0.6875;68.8;Élevé;506.85;512.23;1;Surveiller la ligne + analyser causes
Female;0;Yes;Yes;16;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);35.5;552.7;0;Orange Maroc;Commercial;355.0;5527.0;L;1;12.39;25;0;0;0.11;11.0;Faible;381.75;430.13;0;RAS
Female;0;No;No;40;Yes;Yes;DSL;No;No;Yes;Yes;Yes;Yes;One year;Yes;Mailed check;80.75;3208.65;0;inwi;Direction;807.5;32086.5;XL;1;39.5;50;0;0;0.055;5.5;Faible;884.56;883.15;0;RAS
Female;0;No;No;5;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;No;Electronic check;39.5;210.75;1;inwi;IT;395.0;2107.5;L;0;18.39;25;0;0;0.845;84.5;Critique;395.82;395.22;1;Surveiller la ligne + analyser causes
Male;0;Yes;No;40;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);97.1;3706.95;1;inwi;Finance;971.0;37069.5;XL;0;47.62;50;0;0;0.8225;82.2;Critique;965.51;970.84;1;Surveiller la ligne + analyser causes
Female;0;No;No;36;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.55;620.75;0;Maroc Telecom;RH;195.5;6207.5;M;0;12.33;12;1;0;0.0;0.0;Faible;250.66;245.39;1;Proposer forfait supérieur
Female;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;80.0;412.5;1;inwi;Commercial;800.0;4125.0;XL;0;44.58;50;0;0;0.9125;91.2;Critique;792.79;801.49;1;Surveiller la ligne + analyser causes
Female;0;No;No;10;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Mailed check;84.7;832.05;1;Maroc Telecom;Support;847.0;8320.5;XL;0;45.68;50;0;0;0.805;80.5;Critique;843.94;848.18;1;Surveiller la ligne + analyser causes
Male;0;Yes;Yes;2;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);89.55;185.55;1;Orange Maroc;Direction;895.5;1855.5;XL;0;42.96;50;0;0;0.895;89.5;Critique;878.78;895.99;1;Surveiller la ligne + analyser causes
Male;0;No;No;23;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;90.6;1943.2;1;Orange Maroc;RH;906.0;19432.0;XL;0;46.91;50;0;0;0.66;66.0;Élevé;918.58;906.63;1;Surveiller la ligne + analyser causes
Male;0;Yes;Yes;26;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);20.05;505.9;0;inwi;IT;200.5;5059.0;M;0;8.56;12;0;0;0.0025;0.2;Faible;184.12;200.12;0;RAS
Female;1;Yes;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;112.4;8046.85;0;inwi;Support;1124.0;80468.5;XL;0;50.68;50;1;0;0.015;1.5;Faible;1206.88;1172.21;1;Proposer forfait supérieur
Female;0;Yes;No;34;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);50.2;1815.3;0;inwi;Commercial;502.0;18153.0;XL;0;24.87;50;0;0;0.1225;12.2;Faible;505.58;501.99;0;RAS
Male;0;No;No;10;Yes;No;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;No;Bank transfer (automatic);62.25;612.95;0;Maroc Telecom;Finance;622.5;6129.5;XL;0;34.91;50;0;0;0.0525;5.2;Faible;620.15;623.71;0;RAS
Female;0;No;No;14;Yes;No;DSL;Yes;No;No;Yes;No;No;One year;No;Mailed check;55.7;795.15;0;Maroc Telecom;Commercial;557.0;7951.5;XL;0;26.85;50;0;0;0.0225;2.2;Faible;556.8;557.3;0;RAS
Female;0;No;No;23;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);90.05;2169.8;1;Orange Maroc;Support;900.5;21698.0;XL;0;47.52;50;0;0;0.7425;74.2;Élevé;926.15;901.27;1;Surveiller la ligne + analyser causes
Male;0;Yes;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.65;973.1;0;Maroc Telecom;Support;196.5;9731.0;M;0;7.83;12;0;0;0.005;0.5;Faible;176.31;195.58;0;RAS
Male;0;Yes;No;24;Yes;No;Fiber optic;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;89.25;2210.2;0;Maroc Telecom;Commercial;892.5;22102.0;XL;1;46.69;50;0;0;0.105;10.5;Faible;984.61;969.01;0;RAS
Male;0;Yes;No;49;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);99.05;4853.75;1;Maroc Telecom;Finance;990.5;48537.5;XL;0;48.79;50;0;0;0.8075;80.8;Critique;1004.89;990.19;1;Surveiller la ligne + analyser causes
Male;1;No;No;20;Yes;No;DSL;Yes;No;No;Yes;No;No;One year;No;Mailed check;54.0;1055.9;0;Maroc Telecom;Direction;540.0;10559.0;XL;0;31.57;50;0;0;0.045;4.5;Faible;526.18;541.12;0;RAS
Female;0;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);69.75;144.55;1;Maroc Telecom;Commercial;697.5;1445.5;XL;1;33.94;50;0;0;0.6475;64.8;Élevé;765.16;773.93;1;Surveiller la ligne + analyser causes
Female;0;No;No;2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);49.05;91.1;1;Maroc Telecom;RH;490.5;911.0;L;0;22.9;25;0;0;0.7975;79.8;Élevé;483.85;490.76;1;Surveiller la ligne + analyser causes
Male;0;No;No;22;No;No phone service;DSL;No;No;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);56.75;1304.85;0;Maroc Telecom;Finance;567.5;13048.5;XL;0;32.79;50;0;0;0.025;2.5;Faible;584.38;568.55;0;RAS
Male;0;No;No;7;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);98.05;713.0;1;Maroc Telecom;Support;980.5;7130.0;XL;0;47.29;50;0;0;0.9125;91.2;Critique;992.64;980.91;1;Surveiller la ligne + analyser causes
Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;21.1;21.1;0;inwi;Finance;211.0;211.0;M;0;11.19;12;0;0;0.1175;11.8;Faible;208.88;211.52;0;RAS
Female;0;Yes;Yes;59;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);96.65;5580.8;0;Maroc Telecom;IT;966.5;55808.0;XL;0;46.62;50;0;0;0.0575;5.8;Faible;972.51;965.81;0;RAS
Female;0;Yes;Yes;58;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);24.5;1497.9;0;Maroc Telecom;Commercial;245.0;14979.0;M;0;15.02;12;1;0;0.025;2.5;Faible;330.2;294.47;1;Proposer forfait supérieur
Female;0;No;No;41;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);114.5;4527.45;1;Orange Maroc;Finance;1145.0;45274.5;XL;0;61.14;50;1;0;0.7325;73.2;Élevé;1168.1;1195.48;1;Proposer upgrade forfait + vérifier usage
Female;1;No;No;59;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Two year;Yes;Credit card (automatic);79.2;4590.35;0;Maroc Telecom;Commercial;792.0;45903.5;XL;1;37.58;50;0;0;0.0375;3.8;Faible;865.88;867.05;0;RAS
Female;0;Yes;Yes;3;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.55;200.2;0;inwi;IT;695.5;2002.0;XL;0;36.41;50;0;0;0.1525;15.2;Faible;664.95;696.51;0;RAS
Male;0;No;No;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20.05;614.45;0;inwi;Commercial;200.5;6144.5;M;1;11.94;12;0;0;0.0025;0.2;Faible;268.12;276.4;0;RAS
Male;1;Yes;No;46;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98.85;4564.9;0;Maroc Telecom;Finance;988.5;45649.0;XL;0;49.8;50;0;0;0.8525;85.2;Critique;978.45;988.44;1;Surveiller la ligne + analyser causes
Male;0;Yes;Yes;0;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;25.75;0.0;0;Maroc Telecom;IT;257.5;0.0;M;0;17.45;12;1;0;0.025;2.5;Faible;335.4;308.51;1;Proposer forfait supérieur
